date;state;confirmed;deaths
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;8;3
2020-04-20;Pernambuco;2;2
2020-04-20;Pernambuco;2;1
2020-04-20;Pernambuco;10;2
2020-04-20;Pernambuco;233;19
2020-04-20;Pernambuco;5;3
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;11;6
2020-04-20;Pernambuco;153;6
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;9;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;6;1
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1552;107
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;8;0
2020-04-20;Pernambuco;0;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;4;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;68;14
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;4;0
2020-04-20;Pernambuco;1;1
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;4;2
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;2;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;1;0
2020-04-20;Pernambuco;25;4
2020-04-20;Pernambuco;2690;234
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;1
2020-04-20;Piauí;1;0
2020-04-20;Piauí;3;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;3;0
2020-04-20;Piauí;2;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;1;0
2020-04-20;Piauí;2;0
2020-04-20;Piauí;2;0
2020-04-20;Piauí;6;2
2020-04-20;Piauí;1;1
2020-04-20;Piauí;2;1
2020-04-20;Piauí;1;0
2020-04-20;Piauí;5;1
2020-04-20;Piauí;1;0
2020-04-20;Piauí;3;1
2020-04-20;Piauí;1;0
2020-04-20;Piauí;5;0
2020-04-20;Piauí;136;7
2020-04-20;Piauí;1;0
2020-04-20;Piauí;186;14
2020-04-20;Paraná;6;0
2020-04-20;Paraná;3;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;12;2
2020-04-20;Paraná;13;1
2020-04-20;Paraná;8;0
2020-04-20;Paraná;5;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;9;0
2020-04-20;Paraná;5;0
2020-04-20;Paraná;3;1
2020-04-20;Paraná;4;0
2020-04-20;Paraná;1;1
2020-04-20;Paraná;5;0
2020-04-20;Paraná;17;2
2020-04-20;Paraná;1;0
2020-04-20;Paraná;23;4
2020-04-20;Paraná;64;3
2020-04-20;Paraná;2;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;14;1
2020-04-20;Paraná;8;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;369;9
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;7;0
2020-04-20;Paraná;38;0
2020-04-20;Paraná;3;0
2020-04-20;Paraná;4;0
2020-04-20;Paraná;8;1
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;5;0
2020-04-20;Paraná;3;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;11;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;15;2
2020-04-20;Paraná;1;1
2020-04-20;Paraná;1;0
2020-04-20;Paraná;6;1
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;1;0
2020-04-20;Paraná;2;0
